Company,Category,AIRA Success %,Datadog Success %,Manual Success %,AIRA MTTR (s),Datadog MTTR (s),Manual MTTR (s),AIRA Downtime (m),Datadog Downtime (m),Manual Downtime (m)
DataForge,kubernetes,94,64,46,19,795,2300,25,1033.4,2989.6
EarlyStageX,container,60,45,28,18,2370,1967,15.9,2093.4,1737.3
FinEdge,kubernetes,94,71,39,18,703,2373,18.6,725.9,2452.1
FoodDashX,kubernetes,67,60,35,16,1113,2246,37.1,2523.8,5090.7
LedgerLoop,kubernetes,76,58,53,19,1761,2354,12.1,1114.9,1491.1
LegacyStack,bare_metal,68,58,38,19,1721,2326,15.5,1434.1,1938.4
NotifyHub,kubernetes,76,63,44,15,1746,2064,23.3,2764.6,3267.5
PayLink,hybrid,91,70,57,16,738,2296,19.7,909.6,2830.9
RideSync,kubernetes,79,56,41,12,638,2196,16.3,903.2,3111.2
ScaleOps,kubernetes,90,71,30,18,788,2192,27.1,1181.6,3287.4
SecureTrade,kubernetes,89,63,39,18,767,2155,19,792.6,2226.8
ShopGrid,kubernetes,86,64,29,15,693,2226,33.4,1548.1,4971.4
StreamFlow,kubernetes,97,66,42,15,666,2122,29.6,1276.6,4066.3
StripeCore,kubernetes,94,61,45,17,707,2308,30.1,1273.3,4153.7
